Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
title;rooms;address;price;floor;square;publication_date;link;images
;;;;;;;;
2-комнатная квартира, 42 м?;2;Москва, Юго-Западный, Обручевский, ул. Архитектора Власова, 39 ;2 500 руб.  / день;40 %;42 м?;Опубликовано 13 апреля 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/5892846079/;[]
;;;;;;;;
3-комнатная квартира, 68 м?, 4/10 эт.;3;Москва, Западный, Дорогомилово, бул. Украинский, 5 ;3 100 руб.  / день;4 из 10;68 м?;Опубликовано 28 августа 2019 г.;https://www.gdeetotdom.ru/obj/living/msk/5901432773/;[]
;;;;;;;;
3-комнатная квартира, 69 м?, 4/5 эт.;3;Москва, Центральный, Тверской, ул. Лесная, 35/2 ;3 600 руб.  / день;4 из 5;69 м?;Опубликовано 15 февраля 2017 г.;https://www.gdeetotdom.ru/obj/living/msk/5900602833/;[]
;;;;;;;;
2-комнатная квартира, 54 м?, 3/12 эт.;2;Москва, Центральный, Тверской, пер. Оружейный, 5 ;3 200 руб.  / день;3 из 12;54 м?;Опубликовано 29 августа 2019 г.;https://www.gdeetotdom.ru/obj/living/msk/5900679717/;[]
;;;;;;;;
2-комнатная квартира, 48 м?, 2/7 эт.;2;Москва, Центральный, Хамовники, ул. Смоленская, 3 ;2 800 руб.  / день;2 из 7;48 м?;Опубликовано 13 сентября 2019 г.;https://www.gdeetotdom.ru/obj/living/msk/5900603085/;[]
;;;;;;;;
1-комнатная квартира, 30 м?, 6/9 эт.;1;Москва, Западный, Дорогомилово, наб. Бережковская, 8 ;2 800 руб.  / день;6 из 9;30 м?;Опубликовано 28 августа 2019 г.;https://www.gdeetotdom.ru/obj/living/msk/5901416685/;[]
;;;;;;;;
1-комнатная квартира, 31 м?, 2/9 эт.;1;Москва, Центральный, Пресненский, пер. Грузинский, 10 ;2 800 руб.  / день;2 из 9;31 м?;Опубликовано 28 августа 2019 г.;https://www.gdeetotdom.ru/obj/living/msk/5901416765/;[]
;;;;;;;;
1-комнатная квартира, 32 м?, 6/9 эт.;1;Москва, Западный, Дорогомилово, просп. Кутузовский, 17 ;3 000 руб.  / день;6 из 9;32 м?;Опубликовано 13 сентября 2019 г.;https://www.gdeetotdom.ru/obj/living/msk/5882044363/;[]
;;;;;;;;
1-комнатная квартира, 36 м?, 11/12 эт.;1;Москва, Центральный, Тверской, пер. Оружейный, 5 ;2 800 руб.  / день;11 из 12;36 м?;Опубликовано 26 января 2021 г.;https://www.gdeetotdom.ru/obj/living/msk/5882081055/;[]
;;;;;;;;
1-комнатная квартира, 40 м?;40 м?;Москва, Юго-Западный, Ясенево, ул. Ясногорская, 21к2 ;1 500 руб.  / день;1;8 м?;Опубликовано 24 ноября 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/6268833151/;[]
;;;;;;;;
2-комнатная квартира, 44 м?, 4/5 эт.;2;Москва, Южный, Нагорный, ул. Нагорная, 29К3 ;2 400 руб.  / день;4 из 5;44 м?;Опубликовано 10 апреля 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/5850615057/;[]
;;;;;;;;
1-комнатная квартира, 35 м?, 5/9 эт.;1;Москва, Южный, Даниловский, ул. Серпуховская Большая, 40с2 ;2 500 руб.  / день;5 из 9;35 м?;Опубликовано 08 июля 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/5930629069/;[]
;;;;;;;;
1-комнатная квартира, 35 м?, 4/13 эт.;1;Москва, Южный, Даниловский, ул. Люсиновская, 37 ;2 500 руб.  / день;4 из 13;35 м?;Опубликовано 08 июля 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/5988123247/;[]
;;;;;;;;
1-комнатная квартира, 35 м?, 4/10 эт.;1;Москва, Южный, Даниловский, ул. Серпуховская Большая, 31к1 ;2 500 руб.  / день;4 из 10;35 м?;Опубликовано 08 июля 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/5930628911/;[]
;;;;;;;;
2-комнатная квартира, 50 м?, 5/9 эт.;2;Москва, Центральный, Замоскворечье, ул. Валовая, 8/18С2 ;2 950 руб.  / день;5 из 9;50 м?;Опубликовано 08 июля 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/5930628273/;[]
;;;;;;;;
2-комнатная квартира, 50 м?, 5/8 эт.;2;Москва, Центральный, Пресненский, пер. Пресненский, 2 ;2 950 руб.  / день;5 из 8;50 м?;Опубликовано 08 июля 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/5930628219/;[]
;;;;;;;;
1-комнатная квартира, 36 м?, 3/12 эт.;1;Москва, Центральный, Замоскворечье, пер. Толмачевский Старый, 17с1 ;2 500 руб.  / день;3 из 12;36 м?;Опубликовано 08 июля 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/5930628835/;[]
;;;;;;;;
1-комнатная квартира, 35 м?, 5/14 эт.;1;Москва, Южный, Донской, ул. Тульская Большая, 2 ;2 500 руб.  / день;5 из 14;35 м?;Опубликовано 08 июля 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/5930593409/;[]
;;;;;;;;
2-комнатная квартира, 50 м?, 3/8 эт.;2;Москва, Южный, Донской, ул. Шаболовка, 30с2 ;2 950 руб.  / день;3 из 8;50 м?;Опубликовано 08 июля 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/5930626101/;[]
;;;;;;;;
1-комнатная квартира, 35 м?, 11/14 эт.;1;Москва, Южный, Донской, ул. Орджоникидзе, 14 ;2 500 руб.  / день;11 из 14;35 м?;Опубликовано 08 июля 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/5930574475/;[]
;;;;;;;;
2-комнатная квартира, 50 м?, 3/10 эт.;2;Москва, Западный, Дорогомилово, ул. Брянская, 8 ;2 950 руб.  / день;3 из 10;50 м?;Опубликовано 08 июля 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/5930603091/;[]
;;;;;;;;
1-комнатная квартира, 35 м?, 8/10 эт.;1;Москва, Центральный, Замоскворечье, ул. Зацепа, 32 ;2 500 руб.  / день;8 из 10;35 м?;Опубликовано 08 июля 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/5930628307/;[]
;;;;;;;;
1-комнатная квартира, 35 м?, 2/16 эт.;1;Москва, Южный, Даниловский, ул. Татищева, 13 ;2 500 руб.  / день;2 из 16;35 м?;Опубликовано 08 июля 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/5930574405/;[]
;;;;;;;;
1-комнатная квартира, 33 м?, 4/9 эт.;1;Москва, Западный, Дорогомилово, ул. Дорогомиловская Большая, 4 ;2 500 руб.  / день;4 из 9;33 м?;Опубликовано 08 июля 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/5930574701/;[]
;;;;;;;;
1-комнатная квартира, 35 м?, 2/8 эт.;1;Москва, Центральный, Хамовники, просп. Комсомольский, 9 ;2 500 руб.  / день;2 из 8;35 м?;Опубликовано 13 марта 2017 г.;https://www.gdeetotdom.ru/obj/living/msk/5930574811/;[]
;;;;;;;;
1-комнатная квартира, 35 м?, 4/12 эт.;1;Москва, Южный, Даниловский, ул. Павла Андреева, 4 ;2 500 руб.  / день;4 из 12;35 м?;Опубликовано 08 июля 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/5930574537/;[]
;;;;;;;;
3-комнатная квартира, 65 м?, 4/5 эт.;3;Москва, Центральный, Пресненский, ул. Заморенова, 3 ;3 300 руб.  / день;4 из 5;65 м?;Опубликовано 08 июля 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/5930628689/;[]
;;;;;;;;
2-комнатная квартира, 45 м?, 7/10 эт.;2;Москва, Центральный, Красносельский, ул. Краснопрудная, 1 ;2 950 руб.  / день;7 из 10;45 м?;Опубликовано 08 июля 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/5930628645/;[]
;;;;;;;;
1-комнатная квартира, 35 м?, 5/12 эт.;1;Москва, Юго-Западный, Академический, ул. Дмитрия Ульянова, 19 ;2 500 руб.  / день;5 из 12;35 м?;Опубликовано 13 марта 2017 г.;https://www.gdeetotdom.ru/obj/living/msk/5930628425/;[]
;;;;;;;;
1-комнатная квартира, 35 м?, 5/10 эт.;1;Москва, Южный, Донской, пл. Донская, 1С17 ;2 500 руб.  / день;5 из 10;35 м?;Опубликовано 08 июля 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/5930628563/;[]
;;;;;;;;
